content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
Amgen,4/1/2022,0.010752688,Hold
Amgen,4/2/2022,0.065934066,Buy
Amgen,4/3/2022,-0.010638298,Hold
Amgen,4/4/2022,-0.109756098,Sell
Amgen,4/5/2022,-0.02247191,Hold
Amgen,4/6/2022,0.09375,Buy
Amgen,4/7/2022,-0.052083333,Sell
Amgen,4/8/2022,0.032608696,Hold
Amgen,4/9/2022,0.112244898,Buy
Amgen,4/10/2022,-0.074074074,Sell
Amgen,4/11/2022,0.018518519,Hold
Amgen,4/12/2022,0.011627907,Hold
Amgen,4/13/2022,-0.022222222,Hold
Amgen,4/14/2022,0.031578947,Hold
Amgen,4/15/2022,-0.215909091,Strong Sell
Amgen,4/16/2022,0.158536585,Strong Buy
Amgen,4/17/2022,0,Hold
Amgen,4/18/2022,0.117647059,Buy
Amgen,4/19/2022,0.02020202,Hold
Amgen,4/20/2022,0.050632911,Buy
Amgen,4/21/2022,0,Hold
Amgen,4/22/2022,-0.034482759,Hold
Amgen,4/23/2022,0.075471698,Buy
Amgen,4/24/2022,-0.034090909,Hold
Amgen,4/25/2022,0.020618557,Hold
Amgen,4/26/2022,0.164556962,Strong Buy
Amgen,4/27/2022,0.03125,Hold
Amgen,4/28/2022,0.02970297,Hold
Amgen,4/29/2022,-0.04040404,Hold
Amgen,4/30/2022,-0.063063063,Sell
Amgen,5/1/2022,0.023529412,Hold
Amgen,5/2/2022,0.069767442,Buy
Amgen,5/3/2022,0,Hold
Amgen,5/4/2022,0.010989011,Hold
Amgen,5/5/2022,-0.170454545,Strong Sell
Amgen,5/6/2022,-0.075471698,Sell
Amgen,5/7/2022,0.038461538,Hold
Amgen,5/8/2022,0,Hold
Amgen,5/9/2022,-0.030927835,Hold
Amgen,5/10/2022,0.092783505,Buy
Amgen,5/11/2022,-0.011627907,Hold
Amgen,5/12/2022,-0.117647059,Sell
Amgen,5/13/2022,0.148514851,Buy
Amgen,5/14/2022,-0.061728395,Sell
Amgen,5/15/2022,-0.03,Hold
Amgen,5/16/2022,-0.020618557,Hold
Amgen,5/17/2022,-0.037037037,Hold
Amgen,5/18/2022,0.137931034,Buy
Amgen,5/19/2022,0.070707071,Buy
Amgen,5/20/2022,0.036144578,Hold
Amgen,5/21/2022,-0.095744681,Sell
Amgen,5/22/2022,-0.024096386,Hold
Amgen,5/23/2022,-0.119565217,Sell
Amgen,5/24/2022,0,Hold
Amgen,5/25/2022,0.042553191,Hold
Amgen,5/26/2022,-0.108695652,Sell
Amgen,5/27/2022,-0.083333333,Sell
Amgen,5/28/2022,0.079545455,Buy
Amgen,5/29/2022,0.127906977,Buy
Amgen,5/30/2022,0,Hold
Amgen,5/31/2022,0.037037037,Hold
Amgen,6/1/2022,-0.12371134,Sell
Amgen,6/2/2022,0,Hold
Amgen,6/3/2022,0.076190476,Buy
Amgen,6/4/2022,0.04040404,Hold
Amgen,6/5/2022,-0.069767442,Sell
Amgen,6/6/2022,0,Hold
Amgen,6/7/2022,-0.082352941,Sell
Amgen,6/8/2022,-0.022988506,Hold
Amgen,6/9/2022,0.013157895,Hold
Amgen,6/10/2022,-0.02173913,Hold
Amgen,6/11/2022,0.120481928,Buy
Amgen,6/12/2022,-0.215909091,Strong Sell
Amgen,6/13/2022,0.021276596,Hold
Amgen,6/14/2022,-0.071428571,Sell
Amgen,6/15/2022,-0.04494382,Hold
Amgen,6/16/2022,-0.048543689,Hold
Amgen,6/17/2022,-0.235294118,Strong Sell
Amgen,6/18/2022,0.030927835,Hold
Amgen,6/19/2022,0.044444444,Hold
Amgen,6/20/2022,-0.034482759,Hold
Amgen,6/21/2022,-0.063636364,Sell
Amgen,6/22/2022,0.064102564,Buy
Amgen,6/23/2022,0.170731707,Strong Buy
Amgen,6/24/2022,0.027522936,Hold
Amgen,6/25/2022,-0.052631579,Sell
Amgen,6/26/2022,-0.041237113,Hold
Amgen,6/27/2022,0.043010753,Hold
Amgen,6/28/2022,-0.019607843,Hold
Amgen,6/29/2022,-0.051282051,Sell
Amgen,6/30/2022,0,Hold
Amgen,7/1/2022,-0.088607595,Sell
Amgen,7/2/2022,-0.10989011,Sell
Amgen,7/3/2022,-0.011764706,Hold
Amgen,7/4/2022,-0.012048193,Hold
Amgen,7/5/2022,0.08,Buy
Amgen,7/6/2022,-0.13592233,Sell
Amgen,7/7/2022,-0.025641026,Hold
Amgen,7/8/2022,0.023809524,Hold
Amgen,7/9/2022,-0.069767442,Sell
Amgen,7/10/2022,0.075471698,Buy
Amgen,7/11/2022,0.086956522,Buy
Amgen,7/12/2022,0.098039216,Buy
Amgen,7/13/2022,0.2,Strong Buy
Amgen,7/14/2022,0.09375,Buy
Amgen,7/15/2022,0.043010753,Hold
Amgen,7/16/2022,0,Hold
Amgen,7/17/2022,0.144329897,Buy
Amgen,7/18/2022,0.090909091,Buy
Amgen,7/19/2022,0.051282051,Buy
Amgen,7/20/2022,0.037974684,Hold
Amgen,7/21/2022,0.148514851,Buy
Amgen,7/22/2022,-0.042553191,Hold
Amgen,7/23/2022,0.050505051,Buy
Amgen,7/24/2022,0.021505376,Hold
Amgen,7/25/2022,-0.018518519,Hold
Amgen,7/26/2022,0.208791209,Strong Buy
Amgen,7/27/2022,0,Hold
Amgen,7/28/2022,0,Hold
Amgen,7/29/2022,0.104651163,Buy
Amgen,7/30/2022,-0.131313131,Sell
Amgen,7/31/2022,0.012345679,Hold
Amgen,8/1/2022,0.14084507,Buy
Amgen,8/2/2022,0,Hold
Amgen,8/3/2022,-0.010752688,Hold
Amgen,8/4/2022,-0.071428571,Sell
Amgen,8/5/2022,-0.011363636,Hold
Amgen,8/6/2022,0.0875,Buy
Amgen,8/7/2022,0.032608696,Hold
Amgen,8/8/2022,0.060240964,Buy
Amgen,8/9/2022,0.022727273,Hold
Amgen,8/10/2022,-0.06097561,Sell
Amgen,8/11/2022,-0.155963303,Strong Sell
Amgen,8/12/2022,0.147368421,Buy
Amgen,8/13/2022,-0.054545455,Sell
Amgen,8/14/2022,-0.091836735,Sell
Amgen,8/15/2022,0.141025641,Buy
Amgen,8/16/2022,-0.098901099,Sell
Amgen,8/17/2022,-0.022988506,Hold
Amgen,8/18/2022,0.08,Buy
Amgen,8/19/2022,-0.12,Sell
Amgen,8/20/2022,0.086956522,Buy
Amgen,8/21/2022,0.098039216,Buy
Amgen,8/22/2022,-0.148148148,Sell
Amgen,8/23/2022,0.00862069,Hold
Amgen,8/24/2022,0,Hold
Amgen,8/25/2022,0.012658228,Hold
Amgen,8/26/2022,-0.012345679,Hold
Amgen,8/27/2022,-0.054545455,Sell
Amgen,8/28/2022,-0.137931034,Sell
Amgen,8/29/2022,0.130952381,Buy
Amgen,8/30/2022,-0.081632653,Sell
Amgen,8/31/2022,-0.07,Sell
Amgen,9/1/2022,0,Hold
Amgen,9/2/2022,-0.01010101,Hold
Amgen,9/3/2022,-0.053191489,Sell
Amgen,9/4/2022,0.059405941,Buy
Amgen,9/5/2022,-0.020618557,Hold
Amgen,9/6/2022,0.036144578,Hold
Amgen,9/7/2022,-0.104761905,Sell
Amgen,9/8/2022,0.042105263,Hold
Amgen,9/9/2022,0.182795699,Strong Buy
Amgen,9/10/2022,-0.119565217,Sell
Amgen,9/11/2022,0.022222222,Hold
Amgen,9/12/2022,0.14893617,Buy
Amgen,9/13/2022,0.012658228,Hold
Amgen,9/14/2022,-0.023529412,Hold
Amgen,9/15/2022,-0.074074074,Sell
Amgen,9/16/2022,0.168421053,Strong Buy
Amgen,9/17/2022,0.038461538,Hold
Amgen,9/18/2022,-0.060240964,Sell
Amgen,9/19/2022,-0.127659574,Sell
Amgen,9/20/2022,-0.043478261,Hold
Amgen,9/21/2022,-0.122222222,Sell
Amgen,9/22/2022,-0.014492754,Hold
